Descripcion,Codigo
"CASETA DE RESIDENCIA, ADMINISTRACION, SUPERVISION",OP
ALMACEN DE OBRA,OP
DUCHAS Y LAVADEROS PARA EL PERSONAL OBRERO,OP
CASETA DE GUARDIANIA,OP
"GUARDIANIA NOCTURNA, DOMINGOS Y FERIADOS",OP
CERCO DE PANELES METALICOS,OP
CARTEL DE OBRA,OP
INSTALACION PROVISIONAL DE AGUA,OP
INSTALACIONES  ELECTRICAS PROVISIONALES,OP
CONSUMO DE AGUA PARA LA OBRA,OP
CONSUMO DE ENERGIA ELECTRICA,OP
"CONSUMO DE TELEFONO, INTERNET",OP
SERVICIOS HIGIÉNICOS DE OFICINA TÉCNICA ADMINISTRATIVA,OP
SERVICIOS HIGIENICOS PARA OBREROS,OP
EXAMENES MEDICOS,OP
EXAMENES MEDICOS PARA STAFF,OP
ELABORACION IMPLEMENTACION Y ADMINISTRACION DE PLAN DE  SEGURIDAD Y SALUD EN EL TRABAJO,OP
EQUIPO DE PROTECCION INDIVIDUAL (EP),OP
EQUIPO DE PROTECCION COLECTIVA (EPC),OP
SEÑALÉTICA  PARA LA OBRA,OP
IMPLEMENTACION DE COVID-19,OP
MOVILIZACION Y DESMOVILIZACION DE EQUIPOS Y HERRAMIENTAS,OP
TRAZO Y REPLANTEO PERMANENETE DURANTE LA EJECUCION DE LA OBRA,OP
LIMPIEZA PERMANENTE DE OBRA,OP
ACARREO HORIZONTAL DE MATERIAL,OP
TRANSPORTE  VERTICAL CON PLATAFORMA  ELEVADORA,OP
MALLA DE PROTECCION EN LINDEROS,OP
ACARREO DE DESMONTE,OP
ELIMINACION DEL DESMONTE DE OBRA,OP
ENSAYO DE PROBETAS,OP
MOVILIZACION Y DESMOVILIZACIÓN DE EQUIPO (EXACAVADORA),MT
CORTE Y SEPARACION CON PERSONAL,MT
DEMOLICION CON MAQUINA EXCAVADORA A NIVEL DE PISO (incluye Piso),MT
ELIMINACION DE ESCOMBROS PRODUCTO DE LA DEMOLICION- BOTADERO DEMOLICIÓN,MT
CORTE MASIVO 0 @ 3.7,MT
ELIMINACION DE SUELO 0 @ 3.7,MT
CORTE MASIVO 3.7 @ 7.45,MT
ELIMINACION DE SUELO 3.70. @ 7.45,MT
   EXCAV. ZAPATAS  Y FALSAS ZAPATAS Y FALSOS CIMIENTOS MAT.SUELTO H=1.00 M,MT
   EXCAVACION DE ZANJAS PARA CIMIENTOS ARMADOS,MT
   EXCAVACION DE ZANJAS PARA VIGAS DE CIMENTACION,MT
   EXCAVACION DE ZANJAS PARA TRASLAPE DE ACERO DE MURO PANTALLA,MT
   RELLENO COMPACTADO C/COMPACTADORA 5.8HP-MAT.PROPIO,MT
"   RELLENO COMPACTADO C/COMPACTADORA 5.8HP-MAT.PROPIO, TRASLAPE DE ACERO",MT
  RELLENO MATERIAL DE PRESTAMO (AFIRMADO E= 20 CM),MT
   ACARREO DE MATERIAL EXCEDENTE,MT
   ELIMINACION DEL MATERIAL EXCEDENTE,MT
"   REFINE, NIVEL.Y COMPACT./TERRENO NORMAL/CON COMPACTADORA",MT
   DESQUINCHE Y ESTABILIDAD DE TALUD,MT
   PAÑETEO PARA ESTABILIZAR EL TERRENO PARA MURO PANTALLA,MT
"      SOLADO DE 3"" CEMENTO- HORMIGON 1:8- ZAPATAS",CS
"      SOLADO DE 3"" CEMENTO- HORMIGON 1:8- CIMIENTOS ARMADOS",CS
"      SOLADO DE 3"" CEMENTO- HORMIGON 1:8- CISTERNA",CS
"      SOLADO DE 3"" CEMENTO- HORMIGON 1:8- VIGAS DE CIMENTACION",CS
      FALSO ZAPATAS CONCRETO F'C  100 KG/CM2 + 30% P.G.,CS
      FALSO CIMIENTOS CONCRETO F'C  100 KG/CM2 + 30% P.G.,CS
CONCRETO F'C 280 KG/CM2 - MURO PANTALLA,CA
ENCOFRADO Y DESENCOFRADO DE MURO PANTALLA,CA
"ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
"ACERO FY=4,200 KG/CM2 REND:350 KG/DIA, ZONA DE REFUERZO DE ANCLAJE",CA
CURADO DE CONCRETO CON ADITIVO,CA
PEGAMENTO EPOXICO P/UNION DE CONCRETO NUEVO CON VIEJO DE LOSAS DE TECHO,CA
TECNOPORT EN UNION ENTRE LOSAS DE TECHO Y MURO PANTALLA,CA
PICADO DE VACIADO DE CACHIMBAS,CA
RETIRO DE TECNOPORT ENTRE UNIONES DE LOSAS Y MUROS,CA
"TUBERIA PVC  DE 6"" EN PUNTO DE ANCLAJE",CA
RESANE DE MUROS EN ZONAS DE JUNTAS DE VACIADO,CA
SISTEMA DE ANCLAJE DE MURO PANTALLA,CA
  ZAPATAS,CA
CONCRETO F'C 280 KG/CM2 ZAPATA,CA
ENCOFRADO Y DESENCOFRADO DE ZAPATAS,CA
"ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
CIMIENTOS ARMADOS PARA MURO PANTALLA,CA
CONCRETO F'C 280 KG/CM2 CIMIENTOS ARMADOS,CA
ENCOFRADO Y DESENCOFRADO DE ZAPATAS Y CIMIENTOS,CA
CURADO DE CONCRETO CON ADITIVO,CA
VIGAS DE CIMENTACION,CA
CONCRETO F'C 280 KG/CM2 CIMIENTOS ARMADOS,CA
ENCOFRADO Y DESENCOFRADO DE VIGAS DE CIMENTACION,CA
"ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
   CISTERNA AGUA USO DOMESTICO Y CONTRA INCENDIO,CA
"      CONCRETO PREMEZ.285 kg/cm2, C/CEMTO.TIPO I RELACION A/C= 0.40",CA
      ENCOFRADO Y DESENCOFRADO DE CISTERNA,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
"WATER STOP DE 9""",CA
   MURO DE CONTENCION INTERIOES,CA
CONCRETO F'C 280 KG/CM2 CIMIENTO REFORZADO,CA
ENCOFRADO Y DESENCOFRADO DE MUROS DE CONTENCION,CA
"ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
  COLUMNAS,CA
      CONCRETO PREMEZCLADO F'C 280 kg/cm2 - COLUMNAS,CA
      ENCOFRADO Y DESENCOFRADO NORMAL DE   COLUMNAS,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
   PLACAS,CA
      CONCRETO PREMEZCLADO F'C 280 kg/cm2 - PLACAS,CA
    ENCOFRADO Y DESENCOFRADO DE PLACAS,CA
    ENCOFRADO Y DESENCOFRADO DE PLACAS- DOBLE ALTURA,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
   VIGAS PERALTADASY CHATAS,CA
      CONCRETO PREMEZCLADO F'C 280 kg/cm2 - VIGAS,CA
      ENCOFRADO  Y DESENCOFRADO NORMAL,CA
      ENCOFRADO  Y DESENCOFRADO DOBLE ALTURA,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
    LOSA MACIZA DE e= 0.20 m,CA
      CONCRETO PREMEZCLADO F'C 210 kg/cm2 - LOSA MACIZA ,CA
     ENCOFRADO Y DESENCOFRADO,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
   LOSA ALIGERADA h= 0.20 m,CA
      CONCRETO PREMEZCLADO F'C 210kg/cm2 - LOSA ALIGERADA,CA
      ENCOFRADO Y DESENCOFRADO NORMAL,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
      LADRILLO DE TECHO h= 0.15 m,CA
CURADO DE CONCRETO CON ADITIVO,CA
    LOSA ALIGERADA h= 0.22 m,CA
      CONCRETO PREMEZCLADO F'C 210kg/cm2 - LOSA ALIGERADA,CA
