Descripcion,Codigo,Especialidad
"caseta residencia, administracion, supervision",OP,ESTRUCTURAS
almacen obra,OP,ESTRUCTURAS
duchas lavaderos para personal obrero,OP,ESTRUCTURAS
caseta guardiania,OP,ESTRUCTURAS
"guardiania nocturna, domingos feriados",OP,ESTRUCTURAS
cerco paneles metalicos,OP,ESTRUCTURAS
cartel obra,OP,ESTRUCTURAS
instalacion provisional agua,OP,ESTRUCTURAS
instalaciones electricas provisionales,OP,ESTRUCTURAS
consumo agua para obra,OP,ESTRUCTURAS
consumo energia electrica,OP,ESTRUCTURAS
"consumo telefono, internet",OP,ESTRUCTURAS
servicios higienicos oficina tecnica administrativa,OP,ESTRUCTURAS
servicios higienicos para obreros,OP,ESTRUCTURAS
examenes medicos,OP,ESTRUCTURAS
examenes medicos para staff,OP,ESTRUCTURAS
elaboracion implementacion administracion plan seguridad salud en trabajo,OP,ESTRUCTURAS
equipo proteccion individual (ep),OP,ESTRUCTURAS
equipo proteccion colectiva (epc),OP,ESTRUCTURAS
senaletica para obra,OP,ESTRUCTURAS
implementacion covid-,OP,ESTRUCTURAS
movilizacion desmovilizacion equipos herramientas,OP,ESTRUCTURAS
trazo replanteo permanenete durante ejecucion obra,OP,ESTRUCTURAS
limpieza permanente obra,OP,ESTRUCTURAS
acarreo horizontal material,OP,ESTRUCTURAS
transporte vertical con plataforma elevadora,OP,ESTRUCTURAS
malla proteccion en linderos,OP,ESTRUCTURAS
acarreo desmonte,OP,ESTRUCTURAS
eliminacion del desmonte obra,OP,ESTRUCTURAS
ensayo probetas,OP,ESTRUCTURAS
movilizacion desmovilizacion equipo (exacavadora),MT,ESTRUCTURAS
corte separacion con personal,MT,ESTRUCTURAS
demolicion con maquina excavadora a nivel piso (incluye piso),MT,ESTRUCTURAS
eliminacion escombros producto demolicion- botadero demolicion,MT,ESTRUCTURAS
corte masivo @,MT,ESTRUCTURAS
eliminacion suelo @,MT,ESTRUCTURAS
excav zapatas falsas zapatas falsos cimientos matsuelto h= m,MT,ESTRUCTURAS
excavacion zanjas para cimientos armados,MT,ESTRUCTURAS
excavacion zanjas para vigas cimentacion,MT,ESTRUCTURAS
excavacion zanjas para traslape acero muro pantalla,MT,ESTRUCTURAS
relleno compactado c/compactadora hp-matpropio,MT,ESTRUCTURAS
"relleno compactado c/compactadora hp-matpropio, traslape acero",MT,ESTRUCTURAS
relleno material prestamo (afirmado e= cm),MT,ESTRUCTURAS
acarreo material excedente,MT,ESTRUCTURAS
eliminacion del material excedente,MT,ESTRUCTURAS
"refine, nivel compact/terreno normal/con compactadora",MT,ESTRUCTURAS
desquinche estabilidad talud,MT,ESTRUCTURAS
paneteo para estabilizar terreno para muro pantalla,MT,ESTRUCTURAS
"solado "" cemento- hormigon :- zapatas",CS,ESTRUCTURAS
"solado "" cemento- hormigon :- cimientos armados",CS,ESTRUCTURAS
"solado "" cemento- hormigon :- cisterna",CS,ESTRUCTURAS
"solado "" cemento- hormigon :- vigas cimentacion",CS,ESTRUCTURAS
falso zapatas concreto f'c kg/cm + % pg,CS,ESTRUCTURAS
falso cimientos concreto f'c kg/cm + % pg,CS,ESTRUCTURAS
concreto f'c kg/cm - muro pantalla,CA,ESTRUCTURAS
encofrado desencofrado muro pantalla,CA,ESTRUCTURAS
"acero fy=, kg/cm rend: kg/dia",CA,ESTRUCTURAS
"acero fy=, kg/cm rend: kg/dia, zona refuerzo anclaje",CA,ESTRUCTURAS
curado concreto con aditivo,CA,ESTRUCTURAS
pegamento epoxico p/union concreto nuevo con viejo losas techo,CA,ESTRUCTURAS
tecnoport en union entre losas techo muro pantalla,CA,ESTRUCTURAS
picado vaciado cachimbas,CA,ESTRUCTURAS
retiro tecnoport entre uniones losas muros,CA,ESTRUCTURAS
"tuberia pvc "" en punto anclaje",CA,ESTRUCTURAS
resane muros en zonas juntas vaciado,CA,ESTRUCTURAS
sistema anclaje muro pantalla,CA,ESTRUCTURAS
zapatas,CA,ESTRUCTURAS
concreto f'c kg/cm zapata,CA,ESTRUCTURAS
encofrado desencofrado zapatas,CA,ESTRUCTURAS
cimientos armados para muro pantalla,CA,ESTRUCTURAS
concreto f'c kg/cm cimientos armados,CA,ESTRUCTURAS
encofrado desencofrado zapatas cimientos,CA,ESTRUCTURAS
vigas cimentacion,CA,ESTRUCTURAS
encofrado desencofrado vigas cimentacion,CA,ESTRUCTURAS
cisterna agua uso domestico contra incendio,CA,ESTRUCTURAS
"concreto premez kg/cm, c/cemtotipo i relacion a/c=",CA,ESTRUCTURAS
encofrado desencofrado cisterna,CA,ESTRUCTURAS
"water stop """,CA,ESTRUCTURAS
muro contencion interioes,CA,ESTRUCTURAS
concreto f'c kg/cm cimiento reforzado,CA,ESTRUCTURAS
encofrado desencofrado muros contencion,CA,ESTRUCTURAS
columnas,CA,ESTRUCTURAS
concreto premezclado f'c kg/cm - columnas,CA,ESTRUCTURAS
encofrado desencofrado normal columnas,CA,ESTRUCTURAS
placas,CA,ESTRUCTURAS
concreto premezclado f'c kg/cm - placas,CA,ESTRUCTURAS
encofrado desencofrado placas,CA,ESTRUCTURAS
encofrado desencofrado placas- doble altura,CA,ESTRUCTURAS
vigas peraltadasy chatas,CA,ESTRUCTURAS
concreto premezclado f'c kg/cm - vigas,CA,ESTRUCTURAS
encofrado desencofrado normal,CA,ESTRUCTURAS
encofrado desencofrado doble altura,CA,ESTRUCTURAS
losa maciza e= m,CA,ESTRUCTURAS
concreto premezclado f'c kg/cm - losa maciza,CA,ESTRUCTURAS
encofrado desencofrado,CA,ESTRUCTURAS
losa aligerada h= m,CA,ESTRUCTURAS
concreto premezclado f'c kg/cm - losa aligerada,CA,ESTRUCTURAS
ladrillo techo h= m,CA,ESTRUCTURAS
escaleras,CA,ESTRUCTURAS
concreto f'c kg/cm escalera,CA,ESTRUCTURAS
encofrado desencofrado escaleras,CA,ESTRUCTURAS
losa piso contra terreno e= m,CA,ESTRUCTURAS
junta alrededor columnas (j-a),CA,ESTRUCTURAS
juntas contraccion (j-b),CA,ESTRUCTURAS
juntas aislamiente con estructura perimetrica (j-c),CA,ESTRUCTURAS
camara bombeo,CA,ESTRUCTURAS
concreto f'c kg/cm - camara desague,CA,ESTRUCTURAS
encofrado desencofrado camara bombeo,CA,ESTRUCTURAS
base para equipos,CA,ESTRUCTURAS
concreto f'c kg/cm - base para equipos,CA,ESTRUCTURAS
encofrado desencofrado base para equipos,CA,ESTRUCTURAS
columnetas dinteles,CA,ESTRUCTURAS
concreto f'c kg/cm columnetas amarre,CA,ESTRUCTURAS
encofrado desencofrado columnetas,CA,ESTRUCTURAS
muro ladrillo kk aparejo canto e= m,ALB,ARQUITECTURA
muro ladrillo kk aparejo soga e= m,ALB,ARQUITECTURA
muro ladrillo kk aparejo cabeza e= m,ALB,ARQUITECTURA
doble muro ladrillo kk aparejo soga e= m,ALB,ARQUITECTURA
drywall plancha superboard en puerta ascensor,ALB,ARQUITECTURA
sardinel concreto h= ml,TVAR,ARQUITECTURA
jardinera concreto h= m,TVAR,ARQUITECTURA
"tarrajeo muros interiores depisos superiores mezc:a :,e= cm",REVO,ARQUITECTURA
"tarrajeo fachada ductos iluminacion frotachado mezc:a :,e= cm",REVO,ARQUITECTURA
tarrajeo vigas pisos superiores,REVO,ARQUITECTURA
tarrajeo placas columnas pisos superiores,REVO,ARQUITECTURA
tarrajeo tabiqueria - en estacionamientos,REVO,ARQUITECTURA
tarrajeo impermeabilizado cisterna,REVO,ARQUITECTURA
tarrajeo impermeabilizado jardinera,REVO,ARQUITECTURA
"solaqueo muros en sotano mezc:a :,e= cm",REVO,ARQUITECTURA
solaqueo con cal nievede fachada lateral con andamio fijo,REVO,ARQUITECTURA
solaqueo placas columnas - sotanos,REVO,ARQUITECTURA
limpieza solaqueado montantes,REVO,ARQUITECTURA
vestidura derrames,REVO,ARQUITECTURA
solaqueo vigas en sotano,REVO,ARQUITECTURA
limpieza resane ducto ascensor,REVO,ARQUITECTURA
tarrajeo cieloraso con mezcc:a : con cintas e= cm,COB,ARQUITECTURA
tarrajeo cieloraso con mezcc:a : con cintas e= cm sotanos,COB,ARQUITECTURA
cielo raso impermeabilizado en cisterna aci,COB,ARQUITECTURA
acabado pasos contrapasos cemento pulido,REVO,ARQUITECTURA
acabado cemento pulido descanso escalera,REVO,ARQUITECTURA
brunas en pasos escaleras,REVO,ARQUITECTURA
contrazocalo cemento,REVO,ARQUITECTURA
forjado pasos contrp,REVO,ARQUITECTURA
forjado descanso,REVO,ARQUITECTURA
fondo escalera,REVO,ARQUITECTURA
derrame escalera,REVO,ARQUITECTURA
zocalo porcelanato en cocina x,ZC,ARQUITECTURA
zocalo porcelanato en lavanderia xcm h=m,ZC,ARQUITECTURA
zocalo ceramico en bano servicio,ZC,ARQUITECTURA
zocalo porcelanato en bano social,ZC,ARQUITECTURA
zocalo porcelanato en banos secundarios,ZC,ARQUITECTURA
zocalo porcelanato en bano principal,ZC,ARQUITECTURA
contrazocalo madera,ZC,ARQUITECTURA
contrazocalo porcelanato,ZC,ARQUITECTURA
contrazocalo porcelanto ingreso edificio,ZC,ARQUITECTURA
contrazocalo porcelanato pulido esmaltado lobby,ZC,ARQUITECTURA
contrapisos e= mm,PP,ARQUITECTURA
piso cemento impermeabilizado en cisterna,PP,ARQUITECTURA
piso cemento impermeabilizado en jardineras,PP,ARQUITECTURA
"piso cemento pulido e= """,PP,ARQUITECTURA
acabado barrido cemento -estacionamientos,PP,ARQUITECTURA
piso cemento brunado en zona rampas,PP,ARQUITECTURA
piso estructurado tauari natural xx mm,PP,ARQUITECTURA
piso porcelanato lobby pulido esmaltado xcm,PP,ARQUITECTURA
piso ceramico para bano servicio,PP,ARQUITECTURA
piso porcelanato importado x para cocina lavanderia,PP,ARQUITECTURA
piso porcelanato importado x bano principal,PP,ARQUITECTURA
piso porcelanto importado x bano compartido,PP,ARQUITECTURA
piso estructurado tauari natural xx bano social,PP,ARQUITECTURA
piso porcelanato x cuarto servicio,PP,ARQUITECTURA
"piso porcelanto importado x balcon,terraza,",PP,ARQUITECTURA
empaste pintura latex acrilico en cieloraso,PINT,ARQUITECTURA
empaste pintura latex en muros interiores,PINT,ARQUITECTURA
pintura muros interiores vinilica mano c/imprimante cocheras escaleras,PINT,ARQUITECTURA
pintura muros exteriores vinilica manos c/imprimante,PINT,ARQUITECTURA
puertas principales madera apanelada,VCM,ARQUITECTURA
puerta contraplacada p- (x) sn,VCM,ARQUITECTURA
pasos madera en escalera metalica,VCM,ARQUITECTURA
celosia madera en estructura metalica para puertas fachada,VCM,ARQUITECTURA
celosia madera en estructura metalica fachada,VCM,ARQUITECTURA
mobiliario en melamina - walking closet,VCM,ARQUITECTURA
mobiliario en melamina - closet dormitorios,VCM,ARQUITECTURA
mobiliario en melamina - reposteros altos bajos,VCM,ARQUITECTURA
mobiliario en melamina -islas en cocina,VCM,ARQUITECTURA
"baranda metalica tubo rectangular x"" tubo redondo /""",VCM,ARQUITECTURA
puertas plancha microperforada,VCM,ARQUITECTURA
estructura metalica marco para celocia madera en fachada,VCM,ARQUITECTURA
estructura metalica para puerta batiente para acceso vehicular x m,VCM,ARQUITECTURA
estructura metalica para escalera duplex,VCM,ARQUITECTURA
postes metalicos con tubo rectangular para soporte vidrio templado,VCM,ARQUITECTURA
ductos inyeccion aire,VCM,ARQUITECTURA
rejilla tipo perciana para ductos inyeccion aire,VCM,ARQUITECTURA
canaleta drenaje,VCM,ARQUITECTURA
puertas cortafuego,VCM,ARQUITECTURA
jardineras con portamacetero,VCM,ARQUITECTURA
baranda ingreso en acero inox,VCM,ARQUITECTURA
tapas registro para medidor agua,VCM,ARQUITECTURA
tensores en terreza fachada posterior,VCM,ARQUITECTURA
cerradura puertas cortafuego,CERR,ARQUITECTURA
cerradura puerta principal,CERR,ARQUITECTURA
cerradura puerta interior,CERR,ARQUITECTURA
mamparas vidrio templado mm,VMP,ARQUITECTURA
vidrio templado pavonado mm,VMP,ARQUITECTURA
ventana vidrio templado mm,VMP,ARQUITECTURA
puertas vidrio templado,VMP,ARQUITECTURA
barandas vidrio templado,VMP,ARQUITECTURA
mesada granito gris serena en cocina,REV,ARQUITECTURA
revestimiento madera caoba en mesada concreto flotante,REV,ARQUITECTURA
revestimiento en cuarzo blanco estelar sobre mesada concreto flotante,REV,ARQUITECTURA
"varios, limpieza, jardineria",REV,ARQUITECTURA
instalacion grass plantas en jardineras,REV,ARQUITECTURA
salida para centro luz (escalera evacuacion-vestibulos),SAL,IIEE
salida para centro luz ( dptos),SAL,IIEE
salida para dicroico (dptos),SAL,IIEE
salida para dicroico (areas comunes),SAL,IIEE
salida para centro luz (escalera emergencia),SAL,IIEE
salida para braquete (escalera emergencia),SAL,IIEE
salida para braquete (banos-lavanderias) dptos,SAL,IIEE
salida para braquete (balcones patios terrazas) dptos,SAL,IIEE
salida para artefacto (estacionamientos-sotanos),SAL,IIEE
salida para luz emergencia,SAL,IIEE
salida para interruptor unipolar simple golpe,SAL,IIEE
salida para interruptor unipolar simple golpes,SAL,IIEE
salida para interruptor simple conmutado,SAL,IIEE
salida para interuptor doble conmutado,SAL,IIEE
salida para interuptor simple conmutado cuadruple,SAL,IIEE
"salida para tomacorriente doble p+t, tipo universal + dx duplex usa",SAL,IIEE
"salida para tomacorriente doble p+t, dx duplex usa con placa",SAL,IIEE
"salida para tomacorriente doble p+t, tipo universal + dx duplex usa con placa",SAL,IIEE
"salida para tomacorriente doble p+t, tipo universal + dx duplex usa a prueba agua",SAL,IIEE
llave control x calentador electrico,SAL,IIEE
salida para interruptor xa (lavadora-secadora),SAL,IIEE
salida para tomacorriente cocina electrica trifasica,SAL,IIEE
salida para extraccion aire en banos,SAL,IIEE
salida para campana extractora,SAL,IIEE
salida para chispero encimera cocina,SAL,IIEE
salida para pulsador timbre,SAL,IIEE
salida para campanilla timbre,SAL,IIEE
salida para calentador electrico agua,SAL,IIEE
salida fuerza para puerta levadiza hp,SAL,IIEE
salida para control manual puerta garaje,SAL,IIEE
salida fuerza para plataforma discapacitados hp,SAL,IIEE
salida fuerza para ascensores kw,SAL,IIEE
"salida fuerza para bombas desague ( hp,o)",SAL,IIEE
salida fuerza para electrobomba agua hp,SAL,IIEE
salida para extractor aire hp ec-,SAL,IIEE
salida para inyector aire,SAL,IIEE
salida fuerza para iav,SAL,IIEE
salida fuerza para ea-v,SAL,IIEE
salida para control nivel agua,SAL,IIEE
salida para control nivel camara desague,SAL,IIEE
del bm al tt cable -xmm nxoh + xmm nxy(t) - tub mm o pvc sap,CAN,IIEE
del ge al tt cable -xmm nxoh + xmm nxy(t) - tub mm o pvc sap,CAN,IIEE
del tt al tgsg cable -xmm nxoh + xmm nxy(t) - tub mm o pvc sap,CAN,IIEE
del tgsg al tcb cable xmm nhx- + xmm(t) nhx- - tub mm o pvc sap,CAN,IIEE
del tgsg al td cable xmm nhx- + xmm(t) nhx- - tub mm o pvc sap,CAN,IIEE
